// This file is almost automatically generated by the tools in
// build-tools/enumification-helpers. See README.md there for details.
//
// Each line represents: [API], [C#NS], [C#type], [Java], [value]
//	API - Platform Name (API Level) Since.
//	C#NS - C# namespace.
//	C#type - C# type. Dotted for nested types.
//  java - Java constant, in JNI-ish specification: Package/Type.Field, where
//			- package names are split by '/' and
//			- nested type names are split by '$'.
//  value - constant integer value
//
// First couple of lines were manually edited mappings (historical, and/or
// cannot be generated by tool for various reasons). The rest are autogenerated.

// this cannot be automatically generated, too exceptional...
10,Android.AccessibilityServices.FeedbackFlags,Spoken,android/accessibilityservice/AccessibilityServiceInfo.FEEDBACK_SPOKEN,1
10,Android.AccessibilityServices.FeedbackFlags,Visual,android/accessibilityservice/AccessibilityServiceInfo.FEEDBACK_VISUAL,8
26,Android.AccessibilityServices.FingerptintGestureTypes,SwipeDown,android/accessibilityservice/FingerprintGestureController.FINGERPRINT_GESTURE_SWIPE_DOWN,8
26,Android.AccessibilityServices.FingerptintGestureTypes,SwipeLeft,android/accessibilityservice/FingerprintGestureController.FINGERPRINT_GESTURE_SWIPE_LEFT,2
26,Android.AccessibilityServices.FingerptintGestureTypes,SwipeRight,android/accessibilityservice/FingerprintGestureController.FINGERPRINT_GESTURE_SWIPE_RIGHT,1
26,Android.AccessibilityServices.FingerptintGestureTypes,SwipeUp,android/accessibilityservice/FingerprintGestureController.FINGERPRINT_GESTURE_SWIPE_UP,4
26,Android.Accounts.AccountVisibility,NotVisible,android/accounts/AccountManager.VISIBILITY_NOT_VISIBLE,3
26,Android.Accounts.AccountVisibility,Undefined,android/accounts/AccountManager.VISIBILITY_UNDEFINED,0
26,Android.Accounts.AccountVisibility,UserManagedNotVisible,android/accounts/AccountManager.VISIBILITY_USER_MANAGED_NOT_VISIBLE,4
26,Android.Accounts.AccountVisibility,UserManagedVisible,android/accounts/AccountManager.VISIBILITY_USER_MANAGED_VISIBLE,2
26,Android.Accounts.AccountVisibility,Visible,android/accounts/AccountManager.VISIBILITY_VISIBLE,1
15,Android.App.ActionBarDisplayOptions,HomeAsUp,android/app/ActionBar.DISPLAY_HOME_AS_UP,4
15,Android.App.ActionBarDisplayOptions,ShowCustom,android/app/ActionBar.DISPLAY_SHOW_CUSTOM,16
15,Android.App.ActionBarDisplayOptions,ShowHome,android/app/ActionBar.DISPLAY_SHOW_HOME,2
15,Android.App.ActionBarDisplayOptions,ShowTitle,android/app/ActionBar.DISPLAY_SHOW_TITLE,8
15,Android.App.ActionBarDisplayOptions,UseLogo,android/app/ActionBar.DISPLAY_USE_LOGO,1
15,Android.App.ActionBarNavigationMode,List,android/app/ActionBar.NAVIGATION_MODE_LIST,1
15,Android.App.ActionBarNavigationMode,Standard,android/app/ActionBar.NAVIGATION_MODE_STANDARD,0
15,Android.App.ActionBarNavigationMode,Tabs,android/app/ActionBar.NAVIGATION_MODE_TABS,2
10,Android.App.DefaultKey,Dialer,android/app/Activity.DEFAULT_KEYS_DIALER,1
10,Android.App.DefaultKey,Disable,android/app/Activity.DEFAULT_KEYS_DISABLE,0
10,Android.App.DefaultKey,SearchGlobal,android/app/Activity.DEFAULT_KEYS_SEARCH_GLOBAL,4
10,Android.App.DefaultKey,SearchLocal,android/app/Activity.DEFAULT_KEYS_SEARCH_LOCAL,3
10,Android.App.DefaultKey,Shortcut,android/app/Activity.DEFAULT_KEYS_SHORTCUT,2
10,Android.App.Result,Canceled,android/app/Activity.RESULT_CANCELED,0
10,Android.App.Result,FirstUser,android/app/Activity.RESULT_FIRST_USER,1
10,Android.App.Result,Ok,android/app/Activity.RESULT_OK,-1
15,Android.App.MoveTaskFlags,NoUserAction,android/app/ActivityManager.MOVE_TASK_NO_USER_ACTION,2
15,Android.App.MoveTaskFlags,WithHome,android/app/ActivityManager.MOVE_TASK_WITH_HOME,1
15,Android.App.RecentTaskFlags,IgnoreUnavailable,android/app/ActivityManager.RECENT_IGNORE_UNAVAILABLE,2
10,Android.App.RecentTaskFlags,WithExcluded,android/app/ActivityManager.RECENT_WITH_EXCLUDED,1
10,Android.App.AlarmType,ElapsedRealtime,android/app/AlarmManager.ELAPSED_REALTIME,3
10,Android.App.AlarmType,ElapsedRealtimeWakeup,android/app/AlarmManager.ELAPSED_REALTIME_WAKEUP,2
10,Android.App.AlarmType,Rtc,android/app/AlarmManager.RTC,1
10,Android.App.AlarmType,RtcWakeup,android/app/AlarmManager.RTC_WAKEUP,0
15,Android.App.DialogFragmentStyle,NoFrame,android/app/DialogFragment.STYLE_NO_FRAME,2
15,Android.App.DialogFragmentStyle,NoInput,android/app/DialogFragment.STYLE_NO_INPUT,3
15,Android.App.DialogFragmentStyle,NoTitle,android/app/DialogFragment.STYLE_NO_TITLE,1
15,Android.App.DialogFragmentStyle,Normal,android/app/DialogFragment.STYLE_NORMAL,0
15,Android.App.FragmentTransit,EnterMask,android/app/FragmentTransaction.TRANSIT_ENTER_MASK,4096
15,Android.App.FragmentTransit,ExitMask,android/app/FragmentTransaction.TRANSIT_EXIT_MASK,8192
15,Android.App.FragmentTransit,FragmentClose,android/app/FragmentTransaction.TRANSIT_FRAGMENT_CLOSE,8194
15,Android.App.FragmentTransit,FragmentFade,android/app/FragmentTransaction.TRANSIT_FRAGMENT_FADE,4099
15,Android.App.FragmentTransit,FragmentOpen,android/app/FragmentTransaction.TRANSIT_FRAGMENT_OPEN,4097
15,Android.App.FragmentTransit,None,android/app/FragmentTransaction.TRANSIT_NONE,0
15,Android.App.FragmentTransit,Unset,android/app/FragmentTransaction.TRANSIT_UNSET,-1
26,Android.App.NotificationBadgeIconType,Large,android/app/Notification.BADGE_ICON_LARGE,2
26,Android.App.NotificationBadgeIconType,None,android/app/Notification.BADGE_ICON_NONE,0
26,Android.App.NotificationBadgeIconType,Small,android/app/Notification.BADGE_ICON_SMALL,1
10,Android.App.NotificationFlags,AutoCancel,android/app/Notification.FLAG_AUTO_CANCEL,16
10,Android.App.NotificationFlags,ForegroundService,android/app/Notification.FLAG_FOREGROUND_SERVICE,64
20,Android.App.NotificationFlags,GroupSummary,android/app/Notification.FLAG_GROUP_SUMMARY,512
15,Android.App.NotificationFlags,HighPriority,android/app/Notification.FLAG_HIGH_PRIORITY,128
10,Android.App.NotificationFlags,Insistent,android/app/Notification.FLAG_INSISTENT,4
20,Android.App.NotificationFlags,LocalOnly,android/app/Notification.FLAG_LOCAL_ONLY,256
10,Android.App.NotificationFlags,NoClear,android/app/Notification.FLAG_NO_CLEAR,32
10,Android.App.NotificationFlags,OngoingEvent,android/app/Notification.FLAG_ONGOING_EVENT,2
10,Android.App.NotificationFlags,OnlyAlertOnce,android/app/Notification.FLAG_ONLY_ALERT_ONCE,8
10,Android.App.NotificationFlags,ShowLights,android/app/Notification.FLAG_SHOW_LIGHTS,1
10,Android.App.NotificationDefaults,All,android/app/Notification.DEFAULT_ALL,-1
10,Android.App.NotificationDefaults,Lights,android/app/Notification.DEFAULT_LIGHTS,4
10,Android.App.NotificationDefaults,Sound,android/app/Notification.DEFAULT_SOUND,1
10,Android.App.NotificationDefaults,Vibrate,android/app/Notification.DEFAULT_VIBRATE,2
26,Android.App.NotificationGroupAlertBehavior,All,android/app/Notification.GROUP_ALERT_ALL,0
26,Android.App.NotificationGroupAlertBehavior,Children,android/app/Notification.GROUP_ALERT_CHILDREN,2
26,Android.App.NotificationGroupAlertBehavior,Summary,android/app/Notification.GROUP_ALERT_SUMMARY,1
21,Android.App.NotificationVisibility,Private,android/app/Notification.VISIBILITY_PRIVATE,0
21,Android.App.NotificationVisibility,Public,android/app/Notification.VISIBILITY_PUBLIC,1
21,Android.App.NotificationVisibility,Secret,android/app/Notification.VISIBILITY_SECRET,-1
20,Android.App.WearableSizePreset,Default,android/app/Notification.WearableExtender.SIZE_DEFAULT,0
20,Android.App.WearableSizePreset,FullScreen,android/app/Notification.WearableExtender.SIZE_FULL_SCREEN,5
20,Android.App.WearableSizePreset,Large,android/app/Notification.WearableExtender.SIZE_LARGE,4
20,Android.App.WearableSizePreset,Medium,android/app/Notification.WearableExtender.SIZE_MEDIUM,3
